"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Belarus","BLR","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10250000000","8000000000","8703703703.7037","9157024793.38843","8867908694.19268","8256105701.7241","8854769230.76923","8061662301.64844","8805432708.9837","7118405904.65112","7248621108.14196","7119388489.20863","8682300390.8431","10185080448.5617","12434629629.6296","15704271123.4912","19022424242.4242","23458713886.3001","31571020599.2509","27184640171.8582","31841490433.0312","30079457286.4322","31562756387.1896","38712894144.1441","41635133020.3443","29851764410.3981","26013520305.5891","29881591885.318",
"Belize","BLZ","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","140100000","148300000","140450000","136050000","135750000","146600000","140700000","172400000","201150000","232050000","266800000","291250000","369787050","382191250","412072100","445652350","478448500","497175650","533525900","567191150","616500000","681512600","732706150","768918900","795868450","801804250","806752950","855375450","891922500","940456850","980582800","1044264450","1099426400","1155605200","1190688300","1245138500","1314892650","1339500000",
"Bermuda","BMU","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3236402000","3161547000","3050789000","3025366000","3047049000","","","","",
"Bolivia","BOL","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","325548005.80978","358937544.867193","392327083.924606","409021853.453313","434064007.746373","479797979.79798","538720538.720539","614478114.478114","673400673.400673","723905723.905724","749410774.410774","830808080.808081","913125235.050771","888355822.088956","1418290854.57271","1750024987.50625","1972013993.0035","2323288355.82209","2635682158.92054","2976577318.37497","3052767765.08972","4144509718.59706","4078890787.97659","3983251676.81216","4268281869.69652","3966672651.12072","3222021790.25578","3466536730.17495","3632303083.94036","3637436099.38774","3741315934.62878","4158872256.04647","4483762594.53916","4551692105.69506","4641154420.51726","5091380747.03664","5557197611.63441","5921505243.32452","6378122538.61091","6365979973.84901","6413108433.73494","6129841983.38101","5835733193.86332","5739542119.28139","5957809475.80645","6332707504.24617","7188894478.00689","8295273970.85796","10375397399.942","11358006695.1567","12241421038.3799","14546600691.9418","16116291316.932","18452846599.1317","20766959334.2981","22578642547.0333","23388629667.1491","25376260926.1939",
"Brazil","BRA","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","10051138972.4315","9760602842.81603","13956529618.205","15638607058.8764","14631217231.9027","14582684401.451","18436142915.7175","21886420484.8802","23902617597.0186","25009958476.5274","29017107274.6442","34238487325.4386","40778949205.9812","53545412119.2523","74371827324.778","82255120099.1262","104981221085.954","121841260949.32","137669580413.724","156458585051.017","163832188816.919","179159690538.868","195953143014.789","144841725771.584","147051346356.667","146645678332.018","181718682647.463","183109918561.605","196566284389.508","230373609375","273960000000","371170000000","246445625000","263039872670.808","341439073987.174","490097064291.163","554115745995.423","576814404730.983","554012068418.785","387685249462.721","423353893468.161","358600747470.453","314420830427.514","345291003249.919","402972647931.624","539474166118.961","669432055348.688","836503523188.331","1012929457956.16","1032826442932.88","1330244997726.24","1576885461501.67","1513918386155.34","1526098975001.16","1546283042923.93","1152782770747.54","1148561316451.71","1303885383624.74",
"Barbados","BRB","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1401034157.01288","1454233580.27147","1432900000","1490627952.0708","1514890866.60369","1680157112.31542","1745637150.10192","1888629244.76707","2048128076.36852","2192711181.8227","2276950000","2328650000","2299650000","2147500000","2470650000","2808500000","3125900000","3142400000","3198950000","3100050000","3129050000","3329150000","3480700000","3724700000","3736450000","3752800000","3776400000","3965038589.92307",
"Brunei Darussalam","BRN","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","77967910.0496532","128621431.282419","145297069.774972","171763548.413544","211521547.933157","297525981.789755","343732486.456193","407535381.265679","427102803.738318","436346426.881212","","","","","","795262267.343486","932413793.103448","992706645.056726","1293431553.10006","1582497833.89033","1587010606.259","1734866657.25977","1978014184.39716","2042025862.06897","1631214149.13958","1587020648.96755","1490119547.56381","1475665680.6385","1495955154.69675","1791419756.62955","2091100698.14223","2140854361.93223","2272263830.32287","2469643686.55033","2545865086.08524","2614464457.58284","2016868353.50202","2366642817.39407","2621638924.45583","2761349104.85933","2667719021.31018","2558004218.48862","2411280717.58044","2483297983.49724",
"Bhutan","BTN","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212142107.254117","187289203.221021","239326004.937256","285698458.565908","331794199.029126","427790571.428571","331916099.057541","644370359.263335","595249993.104273","637398590.650197","738705282.357006","756519428.761209","678831974.729215","1052257934.59823","1020117781.0314","1169004833.17742","1126134863.59909","1456102941.17647",
"Botswana","BWA","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","27948408.8041497","29786903.5959144","31615729.7069957","33292884.1045715","34960685.9054789","36646656.4288706","37866108.7866109","43932357.0432357","56624825.6624826","54797381.9802256","69444444.4444444","78229865.7718121","97321544.6625926","140901887.336119","179838116.261957","210682893.847194","226080956.76173","279038004.750594","348164694.518232","446809815.95092","551595470.921256","575714114.975499","517626493.153346","530403865.438964","529767406.038201","434352990.644381","492230323.026981","607570433.021621","685825221.480914","867760186.609757","1259715130.34131","1421794618.12426","1518249040.14789","1470265362.5521","1628622513.59607","1865341605.94474","1714247036.88105","1779774296.0447","1768309709.17438","1793746215.72528","1928789838.8804","1891426419.22893","2032791807.57925","2897717610.45678","3563842826.39732","3784431805.72949","3922260836.78854","4336718332.57314","4823432641.46245","5202379086.24617","6284159296.9854","7111384618.75932","7494361788.13771","7759445715.64772","7628570510.51371","7504110346.49967","7441517210.16626","",
"Central African Republic","CAF","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","80752040.3140193","84807957.7558682","86525715.8879558","93055024.8881299","96315875.1354952","100791280.861206","113156069.072413","125609255.901096","132490616.392402","138867234.111631","135309582.996717","140908234.234529","164664503.014749","183050598.683112","225587625.833646","332690326.620563","368276988.330219","432270140.75644","522033789.499854","611597497.386255","746910464.143249","597166104.776222","669564486.74295","551592620.176033","545692754.911413","684225053.031298","921035419.841244","968141650.634232","1020365407.61368","969899529.259897","1162945044.67709","1091678367.31395","1129090512.05969","1018994033.81661","625012720.533526","858868825.383393","846161684.511694","751278035.134273","805431901.385842","747807354.599024","709271975.345247","756323290.52294","800336429.512006","945957703.222108","1117713467.8113","1197603798.22021","1324314803.43575","1566787643.12487","1839314184.60557","1821629513.60512","1831237469.13343","1994902155.50556","1931721352.30431","1391352876.08291","1807186436.90017","1589611319.81682","1692914436.25906","1823883952.88326",
